Insertion sort (random)
N	T[s]		Stdev[s]	Samples
20000	0.0521838	0.00335919	10
40000	0.203254	0.00347431	10
60000	0.460184	0.00943439	10
80000	0.808971	0.0080912	10
100000	1.25717	0.0111146	10
120000	1.82333	0.0126589	10
140000	2.48734	0.0179599	10
160000	3.2555	0.0173704	10
180000	4.22189	0.0769978	10
200000	5.13472	0.0926735	10

Insertion sort (sorted)
N	T[s]		Stdev[s]	Samples
20000	1.05306e-05	1.74043e-06	10
40000	1.94546e-05	8.16812e-07	10
60000	3.38096e-05	1.37926e-05	10
80000	0.724578	0.019488	10
100000	1.22068	0.0378162	10
120000	1.60017	0.0357215	10
140000	2.26198	0.0252256	10
160000	3.19263	0.0363531	10
180000	5.89747	0.449356	10
200000	7.19252	0.346004	10

Insertion sort (reverse sorted)
N	T[s]		Stdev[s]	Samples
20000	0.153865	0.00398959	10
40000	0.618242	0.00478393	10
60000	1.39253	0.0111044	10
80000	1.38309	0.00634767	10
100000	2.04803	0.0139483	10
120000	3.11135	0.0137961	10
140000	4.07393	0.0346013	10
160000	4.84542	0.00887618	10
180000	6.41772	0.026733	10
200000	8.08034	0.0500821	10

Insertion sort (constant)
N	T[s]		Stdev[s]	Samples
20000	1.89672e-05	1.70519e-06	10
40000	4.33048e-05	6.4742e-06	10
60000	6.88125e-05	1.32827e-05	10
80000	0.000290535	0.000662323	10
100000	9.43538e-05	9.35e-06	10
120000	0.000120754	2.12285e-05	10
140000	0.000164464	3.39981e-05	10
160000	0.000161671	1.93664e-05	10
180000	0.000185282	1.39665e-05	10
200000	0.000217681	2.59754e-05	10

Selection sort (random)
N	T[s]		Stdev[s]	Samples
20000	0.20075	0.0039368	10
40000	0.8035	0.0102228	10
60000	1.73477	0.0191105	10
80000	3.0727	0.0155119	10
100000	4.88114	0.0792268	10
120000	6.85517	0.563323	10
140000	7.44149	2.15629	10
160000	6.83197	0.290581	10
180000	8.58494	0.433502	10
200000	10.7511	0.203002	10

Selection sort (sorted)
N	T[s]		Stdev[s]	Samples
20000	0.103047	0.00282287	10
40000	0.416129	0.0146381	10
60000	0.968821	0.0204821	10
80000	1.68508	0.0240558	10
100000	2.61643	0.0462205	10
120000	3.79308	0.061777	10
140000	5.15125	0.11065	10
160000	7.08384	0.185251	10
180000	12.5249	3.43952 10
200000	19.9484	0.224241	10

Selection sort (reverse sorted)
N	T[s]		Stdev[s]	Samples
20000	0.147449	0.0101219	10
40000	0.603711	0.0199594	10
60000	1.43901	0.0435272	10
80000	1.58657	0.36096	10
100000	2.30193	0.0167403	10
120000	3.43876	0.0447946	10
140000	5.04511	0.502941	10
160000	6.64858	0.385163	10
180000	8.53679	0.382839	10
200000	10.1748	0.275135	10

Selection sort (constant)
N	T[s]		Stdev[s]	Samples
20000	0.0974054	0.00022391	10
40000	0.394481	0.00553671	10
60000	0.900227	0.0113606	10
80000	1.58512	0.0172547	10
100000	2.50908	0.0354038	10
120000	3.74354	0.339178	10
140000	5.12662	0.0833475	10
160000	6.82873	0.122953	10
180000	8.51415	0.17072	10
200000	10.6033	0.124591	10

Quick sort with right pivot (random)
N	T[s]		Stdev[s]	Samples
20000	0.000994168	6.82244e-05	10
40000	0.002132	9.79899e-05	10
60000	0.00333238	0.000189181	10
80000	0.00456444	0.000332411	10
100000	0.00574882	0.000200987	10
120000	0.00696375	0.000211059	10
140000	0.00800416	0.000142756	10
160000	0.0094139	0.00103153	10
180000	0.0107006	0.000808864	10
200000	0.012566	0.00238824	10

Quick sort with right pivot (sorted)
N	T[s]		Stdev[s]	Samples
20000	0.128413	0.00576264	10
40000	0.506755	0.00968822	10
60000	1.15994	0.017175	10
80000	0.663401	0.00694243	10
100000	1.7111	0.092827	10
120000	1.36256	0.0259119	10
140000	2.44494	0.0622022	10
160000	1.77034	0.0363492	10
180000	0.921564	0.108518	10
200000	1.16291	0.297339	10

Quick sort with right pivot (reverse sorted)
N	T[s]		Stdev[s]	Samples
20000	0.115872	0.00358006	10
40000	0.464388	0.00865468	10
60000	1.05857	0.0292406	10
80000	1.06068	0.0228745	10
100000	0.719571	0.0078534	10
120000	0.715712	0.0230094	10
140000	0.584187	0.0122068	10
160000	0.650045	0.026552	10
180000	0.387748	0.0186114	10
200000	0.28922	0.014981	10

Quick sort with right pivot (constant)
N	T[s]		Stdev[s]	Samples
20000	0.10187	0.00140736	10
40000	0.415818	0.0119612	10
60000	0.939223	0.0150768	10
80000	1.64937	0.0159128	10
100000	2.59872	0.0326674	10
120000	3.73152	0.0596121	10
140000	5.08108	0.0559463	10
160000	6.6005	0.0337122	10
180000	8.35635	0.068058	10
200000	10.3459	0.0513533	10

Quick sort with median of three pivot (random)
N	T[s]		Stdev[s]	Samples
20000	0.00106155	4.61099e-05	10
40000	0.00223872	6.34422e-05	10
60000	0.00339051	6.09244e-05	10
80000	0.00459748	6.88734e-05	10
100000	0.00587911	5.89791e-05	10
120000	0.00709245	0.000100851	10
140000	0.00930469	0.00272124	10
160000	0.00974528	8.19078e-05	10
180000	0.0110035	0.000102967	10
200000	0.0123588	0.000153064	10

Quick sort with median of three pivot (sorted)
N	T[s]		Stdev[s]	Samples
20000	0.00024601	3.55621e-05	10
40000	0.000517326	2.57525e-05	10
60000	0.000768342	5.36873e-05	10
80000	0.0012804	0.000117299	10
100000	0.0043651	0.00171766	10
120000	0.0109697	0.00414458	10
140000	0.0266431	0.0146025	10
160000	0.00513798	8.68239e-05	10
180000	0.0102337	0.0047837	10
200000	0.00812933	0.00158359	10

Quick sort with median of three pivot (reverse sorted)
N	T[s]		Stdev[s]	Samples
20000	0.000443646	2.55581e-05	10
40000	0.000974625	5.04518e-05	10
60000	0.0014492	1.94859e-05	10
80000	0.0022223	0.000154322	10
100000	0.0130977	0.00786192	10
120000	0.0508269	0.00920633	10
140000	0.041942	0.0257124	10
160000	0.00522418	0.000107476	10
180000	0.026177	0.00589213	10
200000	0.00823174	0.00118447	10

Quick sort with median of three pivot (constant)
N	T[s]		Stdev[s]	Samples
20000	0.102443	0.00304582	10
40000	0.409698	0.00826909	10
60000	0.927151	0.00924459	10
80000	1.64909	0.0137659	10
100000	2.58476	0.0230425	10
120000	3.72769	0.031163	10
140000	5.0594	0.0424718	10
160000	6.59952	0.0649458	10
180000	8.34445	0.0470429	10
200000	10.3806	0.119647	10

std::sort (random)
N	T[s]		Stdev[s]	Samples
20000	0.000905119	6.09095e-05	10
40000	0.00186951	6.85954e-05	10
60000	0.00293571	6.78592e-05	10
80000	0.00609811	0.00469003	10
100000	0.00492139	0.000119717	10
120000	0.00611366	0.000149471	10
140000	0.00729843	0.000519803	10
160000	0.00879265	0.00172811	10
180000	0.00939085	0.00020354	10
200000	0.0106096	0.000784358	10

std::sort (sorted)
N	T[s]		Stdev[s]	Samples
20000	0.000163854	4.51904e-06	10
40000	0.000382255	5.08482e-05	10
60000	0.000516436	3.66437e-05	10
80000	0.00198016	6.86031e-05	10
100000	0.00187346	0.000143651	10
120000	0.00343531	0.000114169	10
140000	0.00400258	0.00016187	10
160000	0.00342845	5.28349e-05	10
180000	0.00414041	0.000112028	10
200000	0.00504391	0.000706809	10

std::sort (reverse sorted)
N	T[s]		Stdev[s]	Samples
20000	0.000121333	4.97627e-06	10
40000	0.000260459	6.05252e-06	10
60000	0.000403729	3.70474e-05	10
80000	0.00500376	0.000122437	10
100000	0.00418621	0.000535028	10
120000	0.0042682	0.000159487	10
140000	0.00374384	0.000136012	10
160000	0.00339286	0.000198639	10
180000	0.0045887	0.00081699	10
200000	0.00469542	9.71508e-05	10

std::sort (constant)
N	T[s]		Stdev[s]	Samples
20000	0.000111299	8.07345e-06	10
40000	0.00022957	3.98836e-06	10
60000	0.000341058	7.44735e-06	10
80000	0.000512007	3.20227e-05	10
100000	0.000622783	5.39015e-05	10
120000	0.000723685	1.66164e-05	10
140000	0.000940763	3.45742e-05	10
160000	0.00109972	0.000107583	10
180000	0.00121682	8.15001e-05	10
200000	0.00129664	4.44779e-05	10
